R_RNDR3b	"(b0849&(b2675&b2676))|(b3610&(b2675&b2676))|(b1654&(b2675&b2676))|(b1064&(b2675&b2676))"
R_RNDR4	"((b2234&b2235)&b3781)|((b2234&b2235)&b2582)"
R_RNDR4b	"(b0849&(b2675&b2676))|(b1064&(b2675&b2676))|(b3610&(b2675&b2676))|(b1654&(b2675&b2676))"
R_RNTR1c2	"(b0684&b3924&b4238&b4237)|(b2895&b3924&b4238&b4237)|(b0684&b4238)|(b2895&b4238)"
R_RNTR2c2	"(b0684&b3924&b4238&b4237)|(b2895&b3924&b4238&b4237)|(b0684&b4238)|(b2895&b4238)"
R_RNTR3c2	"(b0684&b3924&b4238&b4237)|(b2895&b3924&b4238&b4237)|(b0684&b4238)|(b2895&b4238)"
R_RNTR4c2	"(b0684&b3924&b4238&b4237)|(b2895&b3924&b4238&b4237)|(b0684&b4238)|(b2895&b4238)"
R_SPMDabcpp	"(b1126&b1125&b1124&b1123)|(b1440&b1441&b1442&b1443)"
R_SULabcpp	"(b2422&b2425&b2424&b2423)|(b0763&b0764&b0765)|(b2422&b2424&b2423&b3917)"
R_TGBPA	"(b3132&b3137)|(b2095&b2096)"
R_THIORDXi	"(b2480&b3781)|(b2480&b2582)|b1710"
R_TMAOR1	"(b0894&b0895&b0896)|(b1587&b1588&b1589&b1590)"
R_TMAOR1pp	"(b0996&b0997)|(b1872&b1873)"
R_TMAOR2pp	"(b0996&b0997)|(b1872&b1873)"
R_TRDR	"(b3781&b0888)|(b0888&b2582)"
R_TSULabcpp	"(b2422&b2425&b2424&b2423)|(b2422&b2424&b2423&b3917)"
R_TTRCYCtpp	"(b0463&b0462&b3035)|(b0463&b2470&b3035)"
R_VALt2rpp	"b0401|(b2683&b2682)"
